              Procedure           Image            Address        Calls Instructions
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7f7731a6f300            1          153
_dl_get_tls_static_info ld-linux-x86-64.so.2       7f7731a6f210            1            5
        _dl_debug_state ld-linux-x86-64.so.2       7f7731a6cf40            2            2
                  .text ld-linux-x86-64.so.2       7f7731a5cf10            1        10967
               .plt.got ld-linux-x86-64.so.2       7f7731a5cf00            5            5
             calloc@plt ld-linux-x86-64.so.2       7f7731a5cec0           17           17
             malloc@plt ld-linux-x86-64.so.2       7f7731a5cea0           38           38
_dl_catch_exception@plt ld-linux-x86-64.so.2       7f7731a5ce90           13           13
                  _fini              ls       55a3f74b036c            1            3
                  .text              ls       55a3f749de90            1       167602
               .plt.got              ls       55a3f749de70            4           74
       __cxa_atexit@plt              ls       55a3f749dd70            1            1
          setlocale@plt              ls       55a3f749dcc0            1            1
            realloc@plt              ls       55a3f749dc90            1            1
    fwrite_unlocked@plt              ls       55a3f749dc80           61           61
         __freading@plt              ls       55a3f749dc70            4            4
            strcoll@plt              ls       55a3f749dc50          204          204
             fflush@plt              ls       55a3f749dc10            2            2
            readdir@plt              ls       55a3f749dbf0           64           64
             fileno@plt              ls       55a3f749dbc0            2            2
             memcpy@plt              ls       55a3f749db80           85           85
            _setjmp@plt              ls       55a3f749dae0            1            1
           closedir@plt              ls       55a3f749dac0            1            1
              ioctl@plt              ls       55a3f749da80            1            1
            strrchr@plt              ls       55a3f749d9e0            1            1
         __overflow@plt              ls       55a3f749d9d0          214          214
        getopt_long@plt              ls       55a3f749d980            1            1
             strlen@plt              ls       55a3f749d950          306          306
__ctype_get_mb_cur_max@plt              ls       55a3f749d940          305          305
     bindtextdomain@plt              ls       55a3f749d920            1            1
            opendir@plt              ls       55a3f749d900            1            1
             fclose@plt              ls       55a3f749d8f0            2            2
         textdomain@plt              ls       55a3f749d8e0            1            1
             isatty@plt              ls       55a3f749d850            1            1
         __fpending@plt              ls       55a3f749d840            2            2
   __errno_location@plt              ls       55a3f749d7f0          268          268
             getenv@plt              ls       55a3f749d7a0            9            9
                  _init              ls       55a3f749d758            1            6
